Common Name,Class,Family,Species,Legs,Length / cm,Mass / kg
African Elephant,Mammalia,Elephantidae,Loxodonta africana,4,320,3000
American Alligator,Reptilia,Alligatoridae,Alligator mississippiensis,4,350,300
Bee Hummingbird,Aves,Trochilidae,Mellisuga helenae,2,6,0.002
Bottlenose Dolphin,Mammalia,Delphinidae,Tursiops truncatus,0,300,400
Chambered Nautilus,Cephalopoda,Nautilidae,Nautilus pompilius,90,20,1
Common Starfish,Asteroidea,Asteriidae,Asterias rubens,5,12.5,0.052
Crested Gecko,Reptilia,Diplodactylidae,Correlophus ciliatus,4,20,0.05
Crown-of-thorns Starfish,Asteroidea,Acanthasteridae,Acanthaster planci,21,30,2
Domestic Cat,Mammalia,Falidae,Felis catus,4,96,4.5
Giant Manta Ray,Chondrichthyes,Mobulidae,Mobula birostris,0,700,3000
Giant Squid,Cephalopoda,Architeuthidae,Architeuthis dux,10,600,495
Green Tree Python,Reptilia,Pythonidae,Morelia viridis,0,200,1.5
Grey Parrot,Aves,Psittacidae,Psittacus erithacus,2,33,0.4
Human,Mammalia,Hominidae,Homo sapiens,2,171,77
Ostrich,Aves,Struthionidae,Struthio camelus,2,250,115
Star-sucker Pygmy Octopus,Cephalopoda,Octopodidae,Octopus wolfi,8,2.5,0.001
Tiger Shark,Chondrichthyes,Carcharhinidae,Galeocerdo cuvier,0,375,500
Whale Shark,Chondrichthyes,Rhincodontidae,Rhincodon typus,0,1400,15000
